RUT;RAZON SOCIAL;COD VEN;VENDEDOR;CIUDAD;CANTIDAD T:01;VALOR T:01;FACTURADO T:01;VALOR FACT. T:01;CANTIDAD T:02;VALOR T:02;FACTURADO T:02;VALOR FACT. T:02;CANTIDAD T:03;VALOR T:03;FACTURADO T:03;VALOR FACT. T:03;
048787584;ROBERTO KOBUS PEMSO                               ;002;PATRICIO CUEVAS               ;ANCUD                         ;0000000505;00012867950;00000000438;0011150620;0000001024;00026379760;00000000907;0023346930;0000000378;00009598220;00000000330;0008390700;0000000000;00000000000;00000000000;0000000000
059133659;ANA MARIA MANFREDI CARRASCO                       ;006;HECTOR CAFFIERO VASQUEZ       ;OVALLE                        ;0000000118;00002963820;00000000107;0002688930;0000000087;00002259130;00000000080;0002078200;0000000072;00001889280;00000000039;0001016610;0000000000;00000000000;00000000000;0000000000
060311234;FABIOLA BENAVENTE MEZA                            ;012;CARLOS CUEVAS                 ;PARRAL                        ;0000000062;00001574380;00000000055;0001399450;0000000009;00000242910;00000000009;0000242910;0000000074;00001923260;00000000065;0001689350;0000000000;00000000000;00000000000;0000000000
060921830;NORA BARRAZA MILLA                                ;006;HECTOR CAFFIERO VASQUEZ       ;DIEGO DE ALMAGRO              ;0000000067;00001737330;00000000060;0001562400;0000000023;00000597770;00000000018;0000462820;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000
063319104;LUIS SOUMASTRE RAMIREZ                            ;006;HECTOR CAFFIERO VASQUEZ       ;ARICA                         ;0000000071;00001821290;00000000065;0001665350;0000000095;00002446050;00000000078;0001987220;0000000030;00000809700;00000000020;0000529800;0000000000;00000000000;00000000000;0000000000
067999673;ANA MARIA SALVATIERRA TAPIA                       ;002;PATRICIO CUEVAS               ;CABILDO                       ;0000000036;00000917640;00000000036;0000917640;0000000056;00001381440;00000000056;0001381440;0000000018;00000449820;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000
070968371;GLORIA CECILIA OLIVARES TORRES                    ;006;HECTOR CAFFIERO VASQUEZ       ;CHAÑARAL                      ;0000000130;00003367700;00000000125;0003238750;0000000156;00003988440;00000000107;0002743930;0000000036;00000887640;00000000036;0000887640;0000000000;00000000000;00000000000;0000000000
071650685;SERGIO HERNAN CERDA ESCOBAR                       ;002;PATRICIO CUEVAS               ;LOS ANGELES                   ;0000000290;00007297100;00000000138;0003473620;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000
072952936;ANA SAAVEDRA ORTIZ                                ;012;CARLOS CUEVAS                 ;CAÑETE                        ;0000000104;00002694960;00000000093;0002418070;0000000000;00000000000;00000000000;0000000000;0000000112;00002873880;00000000100;0002598000;0000000000;00000000000;00000000000;0000000000
075099215;NOLBERTO AVILA CORTES                             ;002;PATRICIO CUEVAS               ;CAUQUENES                     ;0000000166;00004210340;00000000163;0004135370;0000000399;00010341010;00000000370;0009583300;0000000222;00005664780;00000000168;0004295320;0000000000;00000000000;00000000000;0000000000
076348294;CARLOS MELLA ALVARADO                             ;002;PATRICIO CUEVAS               ;CASTRO                        ;0000000259;00006558410;00000000221;0005596790;0000000252;00006479480;00000000230;0005920700;0000000132;00003376680;00000000115;0002945850;0000000000;00000000000;00000000000;0000000000
081838518;CLARA VARGAS NATER                                ;012;CARLOS CUEVAS                 ;ANGOL                         ;0000000102;00002668980;00000000058;0001517420;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000
082596623;LUIGI ZANDONAI                                    ;006;HECTOR CAFFIERO VASQUEZ       ;LA SERENA                     ;0000000000;00000000000;00000000000;0000000000;0000000074;00001943260;00000000073;0001916270;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000
082814728;ROSA   RUFINA HERRERA                             ;002;PATRICIO CUEVAS               ;LOS VILOS                     ;0000000000;00000000000;00000000000;0000000000;0000000024;00000599760;00000000024;0000599760;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000
086153181;ADRIANA TAPIA CORREA                              ;006;HECTOR CAFFIERO VASQUEZ       ; ;0000000000;00000000000;00000000000;0000000000;0000000050;00001271500;00000000037;0000940630;0000000024;00000615760;00000000022;0000564780;0000000000;00000000000;00000000000;0000000000
086732041;ROMAN JUAN CASTRO CAYO                            ;006;HECTOR CAFFIERO VASQUEZ       ;ARICA                         ;0000000041;00001029590;00000000042;0001057580;0000000115;00003020850;00000000094;0002458060;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000
08780898K;PATRICIA HAFON DESMOND                            ;006;HECTOR CAFFIERO VASQUEZ       ;TOCOPILLA                     ;0000000008;00000207920;00000000000;0000000000;0000000066;00001681340;00000000054;0001376460;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000
092761525;CARMEN GLORIA GALLARDO VALERIO                    ;002;PATRICIO CUEVAS               ;LA UNION                      ;0000000121;00003165790;00000000106;0002771940;0000000298;00007810020;00000000220;0005772800;0000000000;00000000000;00000000000;0000000000;0000000000;00000000000;00000000000;0000000000
093052528;SABINA QUISPE PAIRO                               ;006;HECTOR CAFFIERO VASQUEZ       ;ARICA                         ;0000000553;00014187470;00000000441;0011312590;0000000539;00014083610;00000000425;0010959750;0000000717;00017847830;00000000374;0009519260;0000000000;00000000000;00000000000;0000000000
